country_tag,country_name,country_orig_desc
ABS,Absaroka,
ABU,Trucial States,
ACE,Aceh,The Aceh Sultanate is experiencing a resurgence in power due to the efforts of the Raja Muda. Can Aceh restore its empire and assert its independence in the face of Dutch expansion?
ACH,Acholi,
ADG,Adagh,
AFG,Afghanistan,"The British and Russian empires watch Afghanistan with greedy eyes, jealous of its opium fields. Is Afghanistan still the graveyard of empires?"
AGJ,Angola Janga,
AHG,Ahaggar,
AIR,Air,
ALB,Albania,
ALD,Algeria,Algeria lost much of its coastline to the French in the aftermath of the Barbary Wars. Can the remnants of this nation fend off further French incursions?
AMZ,Amazonia,
ANH,Anhalt,
ANK,Ankole,
ANL,Andalusia,
AOT,Aotearoa,
ARA,Arabia,
ARG,Argentina,"Argentina has won its independence from Spain, but now faces internal divisions. Can Argentina form a stable government?"
ARM,Armenia,
ASA,New Africa,
ASH,Ashanti,
AST,Australia,
AUS,Austria,"Depending on who you ask, the Austrian Empire is in a period of either perfect balance or worrying stagnation. Revolutionary movements are suppressed across the nation, but will this status quo last forever?"
AWA,Awadh,
AWS,Aussa,
AYI,Anyi,
AZB,Azerbaijan,
BAB,Babylon,
BAD,Baden,
BAH,Bahamas,
BAL,Bali,
BAS,Bastar,
BAV,Bavaria,"In the wake of recent revolutions across Europe, Bavaria has turned to reaction. But the embers of rebellion still burn; will Bavaria be consumed by the flames?"
BEL,Belgium,"In Belgium the industrial revolution is in full swing. The yoke of Dutch oppression was cast aside just six years ago and the country is bounding ahead of their former masters, with the construction of the first railroad in continental Europe. What does the future hold for them?"
BEN,Benin,
BER,Baroda,
BGI,Bagirmi,
BGL,Bengal,
BGM,Begemder,
BHO,Bhopal,
BHU,Bhutan,
BIC,East India Company,India is the jewel in the crown of the British Empire. Can the East India Company maintain rule over this vast landscape while appeasing its shareholders?
BIK,Bikaner,
BLA,Bilua,
BLE,Baule,
BLG,Bulungan,
BMB,Bemba,
BND,Bundu,
BNG,Bangala,
BNY,Bunyoro,
BOB,Bobangi,
BOH,Bohemia,
BOL,Bolivia,"Peru and Bolivia are close to the creation of a new confederation, but can the two countries come to an agreement? Will such a union be formed?"
BOR,Bornu,
BOS,Bosnia-Herzegovina,
BRA,Brunswick,
BRD,Burundi,
BRE,Bremen,
BRI,Brittany,
BRN,Borana,
BRU,Brunei,"Brunei has so far repelled the attempts of colonial powers to infringe upon its sovereignty. Will Brunei fall into decline and obscurity, or could it once more become a regional power?"
BRZ,Brazil,"Brazil is in a period of upheaval following the abdication of Emperor Pedro I, which left the country in the rule of regents. Will Brazil manage to overcome these obstacles and emerge as a great power?"
BST,Basuto,
BUG,Buganda,
BUK,Bukhara,"Unlike the neighboring Khanates, the Emirs of Bukhara embrace Islamic rule rather than basing their legitimacy on descent from Genghis Khan. Will faith win the day?"
BUL,Bulgaria,
BUN,Bundelkhand,
