,0
0,"The American fur trappers and traders arm the Absaroka people for their fight against their traditional Native enemies, the Lakota and the Crow. Can the Absaroka people use this new power to gain independence?"
1,The British Empire seeks to establish an empire of its own in the Persian Gulf and is offering protection to the small autonomous sheikhdoms of the region in exchange for their loyalty. How will the Trucial States respond to this offer?
2,"The Aceh Sultanate has long been a thorn in the side of the Dutch East India Company. The empire has been testing the borders of Aceh in recent years, risking a full-scale conflict. How will Aceh respond to these overtures?"
3,"The Acholi have long been a powerful force in the region of West Nile, fighting against the encroachments of neighbouring kingdoms and European powers. Will the Acholi be able to maintain their independence in a rapidly changing world?"
4,The Adagh seek to expand their autonomy across their grasslands and deserts. Will their nomadic way of life remain untouched by European merchants and dynasties?
5,"The British and Russian empires watch Afghanistan with greedy eyes, jealous of its opium fields. Is Afghanistan still the graveyard of empires?"
6,"The Portuguese have been gradually claiming more land in Angola Janga, forcing the locals to flee inland. What will be the fate of Angola Janga, and can they resist the forces of colonialism?"
7,"From the barren deserts of the Ahaggar, the Tuareg people have managed to create a powerful oasis of culture and prosperity. How will this fragile oasis fare in an ever-changing world?"
8,"The Air people stand as the guardians of the Sahara, fiercely defending their land from both desert raiders and foreign powers. Can they maintain their independence against the overwhelming odds?"
9,"From the Adriatic coast to the rugged mountains of the North, Albania has long been a wild and unruly land. Will the rising tide of nationalism in Europe become a beacon for Albanians or will they be swallowed back into the Ottoman Empire?"
10,Algeria lost much of its coastline to the French in the aftermath of the Barbary Wars. Can the remnants of this nation fend off further French incursions?
11,"The vast rainforest of South America is slowly being tamed by the Europeans. Will the native tribes be able to survive the onslaught, or will they be pushed out of their homelands?"
12,"In the middle of a unification movement sweeping across Germany, the small duchy of Anhalt stands in the way of progress. Will this small nation be able to remain independent, or will it fall prey to the ambitions of its neighbouring states?"
13,"The Kingdom of Ankole stands as the last bastion of traditional African leadership in the region. In a rapidly ever-changing world, how can they defend their kingdom against the challenges of modernity?"
14,"The Province of Andalusia is a hotbed of revolutionary activity. With a long history of rebellion, what will be the fate of this once proud land?"
15,The Maori people of New Zealand have been fighting for their independence since the arrival of the Europeans. Can the Maori nation stand against the imperial ambitions of Britain?
16,The Ottoman Empire is in decline and the Arabian Peninsula is in flux. Will Arabia be able to stand independent from their former masters?
17,"Argentina is rapidly expanding into the vast Pampas, displacing the local tribes. The future of the nation is uncertain, will they continue to expand or will they be halted by their neighbours?"
18,"Straddling the border between East and West, the Armenians have a long and tumultuous history. With more nations vying for control of the region, how can the Armenians secure their independence?"
19,"The Zulu kingdom is pushing its borders outward, seeking to create a unified African nation. Will they succeed in their ambitions and create a new African superpower in the face of European colonialism?"
20,"The Ashanti nation has been warring with its neighbours for centuries, but now it seems poised to become a major player in West African politics. Will the Ashanti be able to maintain their independence and build a strong nation?"
21,"As the British colonists expand their presence in Australia and the Indigenous peoples fight to protect their land, what will become of this wild and untamed continent?"
22,"Depending on who you ask, the Austrian Empire is in a period of either perfect balance or worrying stagnation. Revolutionary movements are suppressed across the nation, but will this status quo last forever?"
23,"The Indian Empire of Awadh is a melting pot of cultures, religions and philosophies. Will it be able to remain independent in a rapidly changing world, or will it be swallowed up by a foreign power?"
24,"Ethiopia has long been an independent nation, but its neighbour Aussa is now facing increasing pressure from Italian imperialism. How will Aussa fare in the face of this threat, and will it remain independent or succumb to foreign rule?"
25,"The Anyi people of the Ivory Coast have long been a powerful force in the region, with rich cultural and artistic traditions. Can they remain independent in a rapidly changing world?"
26,"Straddling East and West, Azerbaijan is in a precarious position between two powerful empires. Will the azeris be able to keep their independence, or will one of the empires consume it?"
27,"The ancient city of Babylon is a reminder of a once-great empire that has been long gone. Will the people of Babylon rise again, or will they remain forgotten?"
28,The Grand Duchy of Baden stands in the way of German unification. Will it be able to withstand the onslaught of its neighbours and remain independent?
29,"The Bahamas has long been a refuge for pirates and seafarers, but now the British Empire is asserting its power over the islands. How will the locals respond?"
30,The Dutch colonial forces have been encroaching upon the island of Bali and the Majapahit kingdom is struggling to keep them at bay. Will the people of Bali be able to resist the Europeans and preserve their independence?
31,British and French forces are skirmishing over control of Bastar in the early 19th century. Will the local chieftains be able to fend off the imperialists or will they succumb to outside forces?
32,"Despite the recent revolutions across Europe, Bavaria seeks to maintain its traditional power structure. But with the winds of change blowing outside its borders, can Bavaria survive on its own?"
33,"With a newfound sense of freedom, the people of Belgium look to the Industrial Revolution as their chance to make a name for themselves. Will the same spirit of innovation be enough to keep the country afloat?"
34,"In the early 19th century, Benin is a powerful kingdom, and its relationship with the ever-expanding empire of Britain is on shaky ground. Can Benin withstand Britain's advancement, or will it become just another subjugated territory?"
35,"The Maratha Confederacy is stretched thin holding the many princely states that comprise it, and the British forces eye Baroda with interest. Will Baroda be strong enough to resist the imperial powers?"
36,"As the French colonial machine spreads outward, it slowly encroaches on Bagirmi. Can this small African kingdom defend itself or will it be just another French conquest?"
37,"Despite being one of the most rich and powerful provinces of the Mughal Empire, Bengal is slowly being annexed by the East India Company. Will Bengal become another British colony?"
38,"The emperor of Abyssinia looks to Begemder as a source of wealth and stability, but the powerful local kings are not ready to submit. Will Begemder remain independent or will it succumb to imperial ambitions?"
