country_tag,country_name,country_orig_desc,country_ai_desc
ABS,Absaroka,,"The American fur trappers and traders arm the Absaroka people for their fight against their traditional Native enemies, the Lakota and the Crow. Can the Absaroka people use this new power to gain independence?"
ABU,Trucial States,,The British Empire seeks to establish an empire of its own in the Persian Gulf and is offering protection to the small autonomous sheikhdoms of the region in exchange for their loyalty. How will the Trucial States respond to this offer?
ACE,Aceh,The Aceh Sultanate is experiencing a resurgence in power due to the efforts of the Raja Muda. Can Aceh restore its empire and assert its independence in the face of Dutch expansion?,"The Aceh Sultanate has long been a thorn in the side of the Dutch East India Company. The empire has been testing the borders of Aceh in recent years, risking a full-scale conflict. How will Aceh respond to these overtures?"
ACH,Acholi,,"The Acholi have long been a powerful force in the region of West Nile, fighting against the encroachments of neighbouring kingdoms and European powers. Will the Acholi be able to maintain their independence in a rapidly changing world?"
ADG,Adagh,,The Adagh seek to expand their autonomy across their grasslands and deserts. Will their nomadic way of life remain untouched by European merchants and dynasties?
AFG,Afghanistan,"The British and Russian empires watch Afghanistan with greedy eyes, jealous of its opium fields. Is Afghanistan still the graveyard of empires?","The British and Russian empires watch Afghanistan with greedy eyes, jealous of its opium fields. Is Afghanistan still the graveyard of empires?"
AGJ,Angola Janga,,"The Portuguese have been gradually claiming more land in Angola Janga, forcing the locals to flee inland. What will be the fate of Angola Janga, and can they resist the forces of colonialism?"
AHG,Ahaggar,,"From the barren deserts of the Ahaggar, the Tuareg people have managed to create a powerful oasis of culture and prosperity. How will this fragile oasis fare in an ever-changing world?"
AIR,Air,,"The Air people stand as the guardians of the Sahara, fiercely defending their land from both desert raiders and foreign powers. Can they maintain their independence against the overwhelming odds?"
ALB,Albania,,"From the Adriatic coast to the rugged mountains of the North, Albania has long been a wild and unruly land. Will the rising tide of nationalism in Europe become a beacon for Albanians or will they be swallowed back into the Ottoman Empire?"
ALD,Algeria,Algeria lost much of its coastline to the French in the aftermath of the Barbary Wars. Can the remnants of this nation fend off further French incursions?,Algeria lost much of its coastline to the French in the aftermath of the Barbary Wars. Can the remnants of this nation fend off further French incursions?
AMZ,Amazonia,,"The vast rainforest of South America is slowly being tamed by the Europeans. Will the native tribes be able to survive the onslaught, or will they be pushed out of their homelands?"
ANH,Anhalt,,"In the middle of a unification movement sweeping across Germany, the small duchy of Anhalt stands in the way of progress. Will this small nation be able to remain independent, or will it fall prey to the ambitions of its neighbouring states?"
ANK,Ankole,,"The Kingdom of Ankole stands as the last bastion of traditional African leadership in the region. In a rapidly ever-changing world, how can they defend their kingdom against the challenges of modernity?"
ANL,Andalusia,,"The Province of Andalusia is a hotbed of revolutionary activity. With a long history of rebellion, what will be the fate of this once proud land?"
AOT,Aotearoa,,The Maori people of New Zealand have been fighting for their independence since the arrival of the Europeans. Can the Maori nation stand against the imperial ambitions of Britain?
